Name of Institution,State Name,Total Student Enrolment,Number of Teachers,Year
Indian Institute of Technology Madras,Tamil Nadu,10200,620,2022
Indian Institute of Technology Bombay,Maharashtra,9800,580,2022
Indian Institute of Technology Delhi,Delhi,9500,560,2022
Indian Institute of Technology Kanpur,Uttar Pradesh,8200,520,2022
Indian Institute of Technology Kharagpur,West Bengal,12000,680,2022
Indian Institute of Technology Roorkee,Uttarakhand,8800,510,2022
Indian Institute of Technology Guwahati,Assam,7500,480,2022
Indian Institute of Technology Hyderabad,Telangana,4200,320,2022
National Institute of Technology Tiruchirappalli,Tamil Nadu,6500,410,2022
Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,7800,490,2022
Indian Institute of Technology Indore,Madhya Pradesh,3800,280,2022
Indian Institute of Technology (ISM) Dhanbad,Jharkhand,7200,450,2022
Indian Institute of Technology Ropar,Punjab,3200,240,2022
Indian Institute of Technology Gandhinagar,Gujarat,2800,220,2022
Indian Institute of Technology Patna,Bihar,3500,260,2022
Indian Institute of Technology Bhubaneswar,Odisha,3400,250,2022
Indian Institute of Technology Mandi,Himachal Pradesh,2600,200,2022
Indian Institute of Technology Jodhpur,Rajasthan,3000,230,2022
Indian Institute of Technology Jammu,Jammu and Kashmir,2200,180,2022
Indian Institute of Technology Palakkad,Kerala,2100,170,2022
National Institute of Technology Karnataka,Karnataka,6200,400,2022
Vellore Institute of Technology,Tamil Nadu,38000,2200,2022
National Institute of Technology Rourkela,Odisha,5800,380,2022
Indian Institute of Technology Tirupati,Andhra Pradesh,1800,150,2022
Indian Institute of Technology Bhilai,Chhattisgarh,1600,140,2022
Indian Institute of Technology Goa,Goa,1400,120,2022
Indian Institute of Technology Dharwad,Karnataka,1500,130,2022
Indian Institute of Technology Dhanbad,Jharkhand,7200,450,2022
Jamia Millia Islamia,Delhi,18500,950,2022
Anna University,Tamil Nadu,42000,2100,2022
Jadavpur University,West Bengal,16000,820,2022
Amrita Vishwa Vidyapeetham,Tamil Nadu,24000,1400,2022
Thapar Institute of Engineering and Technology,Punjab,12000,650,2022
National Institute of Technology Warangal,Telangana,5500,360,2022
Birla Institute of Technology and Science Pilani,Rajasthan,16000,900,2022
Delhi Technological University,Delhi,14000,720,2022
Indian Institute of Space Science and Technology,Kerala,2200,180,2022
Aligarh Muslim University,Uttar Pradesh,28000,1500,2022
National Institute of Technology Calicut,Kerala,5200,340,2022
International Institute of Information Technology Hyderabad,Telangana,2800,200,2022
Manipal Institute of Technology,Karnataka,15000,800,2022
Siksha O Anusandhan,Odisha,18000,950,2022
SRM Institute of Science and Technology,Tamil Nadu,42000,2400,2022
Shanmugha Arts Science Technology and Research Academy,Tamil Nadu,12000,650,2022
Kalinga Institute of Industrial Technology,Odisha,30000,1600,2022
PSG College of Technology,Tamil Nadu,8500,480,2022
Sri Sivasubramaniya Nadar College of Engineering,Tamil Nadu,6200,380,2022
National Institute of Technology Durgapur,West Bengal,4800,320,2022
College of Engineering Pune,Maharashtra,7200,420,2022
Indian Institute of Engineering Science and Technology Shibpur,West Bengal,4500,300,2022
University of Delhi,Delhi,132000,5500,2022
University of Mumbai,Maharashtra,850000,12000,2022
University of Calcutta,West Bengal,18000,900,2022
Banaras Hindu University,Uttar Pradesh,30000,1800,2022
Jawaharlal Nehru University,Delhi,8500,550,2022
University of Hyderabad,Telangana,5200,420,2022
Panjab University,Punjab,15000,780,2022
Savitribai Phule Pune University,Maharashtra,680000,8500,2022
Osmania University,Telangana,42000,2200,2022
Andhra University,Andhra Pradesh,28000,1400,2022
Madurai Kamaraj University,Tamil Nadu,95000,3200,2022
Bharathiar University,Tamil Nadu,120000,3800,2022
University of Kerala,Kerala,18000,950,2022
Gujarat University,Gujarat,220000,4500,2022
Rajasthan University,Rajasthan,85000,2800,2022
University of Rajasthan,Rajasthan,82000,2700,2022
Gauhati University,Assam,12000,650,2022
Patna University,Bihar,25000,1200,2022
University of Lucknow,Uttar Pradesh,42000,1800,2022
Dr. B. R. Ambedkar University Delhi,Delhi,8500,420,2022
Visvesvaraya Technological University,Karnataka,320000,6500,2022
Dr. A.P.J. Abdul Kalam Technical University,Uttar Pradesh,450000,8000,2022
Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,4800,310,2022
Malaviya National Institute of Technology Jaipur,Rajasthan,4500,300,2022
Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,4200,290,2022
National Institute of Technology Silchar,Assam,3800,270,2022
National Institute of Technology Hamirpur,Himachal Pradesh,3600,260,2022
National Institute of Technology Meghalaya,Meghalaya,1200,110,2022
National Institute of Technology Nagaland,Nagaland,900,85,2022
National Institute of Technology Patna,Bihar,2800,200,2022
National Institute of Technology Raipur,Chhattisgarh,3200,220,2022
National Institute of Technology Srinagar,Jammu and Kashmir,2800,210,2022
National Institute of Technology Jamshedpur,Jharkhand,3500,240,2022
National Institute of Technology Kurukshetra,Haryana,4000,280,2022
National Institute of Technology Surathkal,Karnataka,6200,400,2022
Indian Institute of Science Bengaluru,Karnataka,4200,520,2022
All India Institute of Medical Sciences New Delhi,Delhi,2800,850,2022
Post Graduate Institute of Medical Education and Research Chandigarh,Punjab,1200,420,2022
Christian Medical College Vellore,Tamil Nadu,2500,680,2022
National Law School of India University,Karnataka,1200,95,2022
Indian Institute of Management Ahmedabad,Gujarat,1100,120,2022
Indian Institute of Management Bangalore,Karnataka,1200,130,2022
Indian Institute of Management Calcutta,West Bengal,1150,125,2022
Tata Institute of Social Sciences,Maharashtra,5500,380,2022
TERI School of Advanced Studies,Delhi,1800,150,2022
Symbiosis International University,Maharashtra,22000,1200,2022
Bharati Vidyapeeth Deemed University,Maharashtra,28000,1500,2022
Lovely Professional University,Punjab,35000,2000,2022
Chandigarh University,Punjab,28000,1600,2022
Graphic Era University,Uttarakhand,15000,850,2022
Shiv Nadar University,Uttar Pradesh,4500,320,2022
Ashoka University,Haryana,2800,220,2022
O.P. Jindal Global University,Haryana,6500,450,2022
Azim Premji University,Karnataka,2200,180,2022
FLAME University,Maharashtra,3500,250,2022
Christ University,Karnataka,22000,1400,2022
Presidency University Bengaluru,Karnataka,8500,520,2022
REVA University,Karnataka,18000,950,2022
PES University,Karnataka,12000,680,2022
RV College of Engineering,Karnataka,4200,280,2022
BMS College of Engineering,Karnataka,4800,310,2022
MS Ramaiah Institute of Technology,Karnataka,5200,340,2022
Dayananda Sagar College of Engineering,Karnataka,6500,380,2022
Sir M. Visvesvaraya Institute of Technology,Karnataka,3800,240,2022
Coimbatore Institute of Technology,Tamil Nadu,4200,260,2022
Kumaraguru College of Technology,Tamil Nadu,5500,320,2022
Thiagarajar College of Engineering,Tamil Nadu,4800,290,2022
Government College of Technology Coimbatore,Tamil Nadu,3500,220,2022
Mepco Schlenk Engineering College,Tamil Nadu,3200,200,2022
National Institute of Fashion Technology,Delhi,3500,280,2022
Indian Statistical Institute Kolkata,West Bengal,1200,150,2022
Indian Institute of Foreign Trade,Delhi,1800,120,2022
Indian Institute of Mass Communication,Delhi,900,75,2022
University of Madras,Tamil Nadu,8000,400,2022
