institution_name,state,nirf_rank,naac_cgpa,student_enrollment,faculty_count
Indian Institute of Technology Madras,Tamil Nadu,1,3.88,10200,620
Indian Institute of Technology Bombay,Maharashtra,2,3.9,9800,580
Indian Institute of Technology Delhi,Delhi,3,3.85,9500,560
Indian Institute of Technology Kanpur,Uttar Pradesh,4,3.82,8200,520
Indian Institute of Technology Kharagpur,West Bengal,5,3.8,12000,680
Indian Institute of Technology Roorkee,Uttarakhand,6,3.78,8800,510
Indian Institute of Technology Guwahati,Assam,7,3.76,7500,480
Indian Institute of Technology Hyderabad,Telangana,8,3.74,4200,320
National Institute of Technology Tiruchirappalli,Tamil Nadu,9,3.65,6500,410
Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,10,3.72,7800,490
Indian Institute of Technology Indore,Madhya Pradesh,11,3.7,3800,280
Indian Institute of Technology (ISM) Dhanbad,Jharkhand,12,3.68,7200,450
Indian Institute of Technology Ropar,Punjab,13,3.66,3200,240
Indian Institute of Technology Gandhinagar,Gujarat,14,3.64,2800,220
Indian Institute of Technology Patna,Bihar,15,3.62,3500,260
Indian Institute of Technology Bhubaneswar,Odisha,16,3.6,3400,250
Indian Institute of Technology Mandi,Himachal Pradesh,17,3.58,2600,200
Indian Institute of Technology Jodhpur,Rajasthan,18,3.56,3000,230
Indian Institute of Technology Jammu,Jammu and Kashmir,19,3.54,2200,180
Indian Institute of Technology Palakkad,Kerala,20,3.52,2100,170
National Institute of Technology Karnataka,Karnataka,21,3.5,6200,400
Vellore Institute of Technology,Tamil Nadu,22,3.48,38000,2200
National Institute of Technology Rourkela,Odisha,23,3.46,5800,380
Indian Institute of Technology Tirupati,Andhra Pradesh,24,3.44,1800,150
Indian Institute of Technology Bhilai,Chhattisgarh,25,3.42,1600,140
Indian Institute of Technology Goa,Goa,26,3.4,1400,120
Indian Institute of Technology Dharwad,Karnataka,27,3.38,1500,130
Indian Institute of Technology Dhanbad,Jharkhand,28,3.36,7200,450
Jamia Millia Islamia,Delhi,29,3.55,18500,950
Anna University,Tamil Nadu,30,3.45,42000,2100
Jadavpur University,West Bengal,31,3.52,16000,820
Amrita Vishwa Vidyapeetham,Tamil Nadu,32,3.6,24000,1400
Thapar Institute of Engineering and Technology,Punjab,33,3.48,12000,650
National Institute of Technology Warangal,Telangana,34,3.44,5500,360
Birla Institute of Technology and Science Pilani,Rajasthan,35,3.58,16000,900
Delhi Technological University,Delhi,36,3.4,14000,720
Indian Institute of Space Science and Technology,Kerala,37,3.62,2200,180
Aligarh Muslim University,Uttar Pradesh,38,3.5,28000,1500
National Institute of Technology Calicut,Kerala,39,3.42,5200,340
International Institute of Information Technology Hyderabad,Telangana,40,3.55,2800,200
Manipal Institute of Technology,Karnataka,41,3.45,15000,800
Siksha O Anusandhan,Odisha,42,3.38,18000,950
SRM Institute of Science and Technology,Tamil Nadu,43,3.42,42000,2400
