Institution Name,State,CGPA,Grade,Cycle
Indian Institute of Technology Madras,Tamil Nadu,3.88,A++,2
Indian Institute of Technology Bombay,Maharashtra,3.9,A++,2
Indian Institute of Technology Delhi,Delhi,3.85,A++,2
Indian Institute of Technology Kanpur,Uttar Pradesh,3.82,A++,2
Indian Institute of Technology Kharagpur,West Bengal,3.8,A++,2
Indian Institute of Technology Roorkee,Uttarakhand,3.78,A++,2
Indian Institute of Technology Guwahati,Assam,3.76,A++,2
Indian Institute of Technology Hyderabad,Telangana,3.74,A++,2
National Institute of Technology Tiruchirappalli,Tamil Nadu,3.65,A++,2
Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,3.72,A++,2
Indian Institute of Technology Indore,Madhya Pradesh,3.7,A++,2
Indian Institute of Technology (ISM) Dhanbad,Jharkhand,3.68,A++,2
Indian Institute of Technology Ropar,Punjab,3.66,A++,2
Indian Institute of Technology Gandhinagar,Gujarat,3.64,A++,2
Indian Institute of Technology Patna,Bihar,3.62,A++,2
Indian Institute of Technology Bhubaneswar,Odisha,3.6,A++,2
Indian Institute of Technology Mandi,Himachal Pradesh,3.58,A++,2
Indian Institute of Technology Jodhpur,Rajasthan,3.56,A++,2
Indian Institute of Technology Jammu,Jammu and Kashmir,3.54,A++,2
Indian Institute of Technology Palakkad,Kerala,3.52,A++,2
National Institute of Technology Karnataka,Karnataka,3.5,A+,2
Vellore Institute of Technology,Tamil Nadu,3.48,A+,1
National Institute of Technology Rourkela,Odisha,3.46,A+,1
Indian Institute of Technology Tirupati,Andhra Pradesh,3.44,A+,1
Indian Institute of Technology Bhilai,Chhattisgarh,3.42,A+,1
Indian Institute of Technology Goa,Goa,3.4,A+,1
Indian Institute of Technology Dharwad,Karnataka,3.38,A+,1
Indian Institute of Technology Dhanbad,Jharkhand,3.36,A+,1
Jamia Millia Islamia,Delhi,3.55,A++,2
Anna University,Tamil Nadu,3.45,A+,1
Jadavpur University,West Bengal,3.52,A++,2
Amrita Vishwa Vidyapeetham,Tamil Nadu,3.6,A++,2
Thapar Institute of Engineering and Technology,Punjab,3.48,A+,1
National Institute of Technology Warangal,Telangana,3.44,A+,1
Birla Institute of Technology and Science Pilani,Rajasthan,3.58,A++,2
Delhi Technological University,Delhi,3.4,A+,1
Indian Institute of Space Science and Technology,Kerala,3.62,A++,2
Aligarh Muslim University,Uttar Pradesh,3.5,A+,2
National Institute of Technology Calicut,Kerala,3.42,A+,1
International Institute of Information Technology Hyderabad,Telangana,3.55,A++,2
Manipal Institute of Technology,Karnataka,3.45,A+,1
Siksha O Anusandhan,Odisha,3.38,A+,1
SRM Institute of Science and Technology,Tamil Nadu,3.42,A+,1
Shanmugha Arts Science Technology and Research Academy,Tamil Nadu,3.4,A+,1
Kalinga Institute of Industrial Technology,Odisha,3.35,A+,1
PSG College of Technology,Tamil Nadu,3.48,A+,1
Sri Sivasubramaniya Nadar College of Engineering,Tamil Nadu,3.46,A+,1
National Institute of Technology Durgapur,West Bengal,3.38,A+,1
College of Engineering Pune,Maharashtra,3.44,A+,1
Indian Institute of Engineering Science and Technology Shibpur,West Bengal,3.42,A+,1
University of Delhi,Delhi,3.68,A++,2
University of Mumbai,Maharashtra,3.55,A++,2
University of Calcutta,West Bengal,3.52,A++,2
Banaras Hindu University,Uttar Pradesh,3.72,A++,2
Jawaharlal Nehru University,Delhi,3.75,A++,2
University of Hyderabad,Telangana,3.58,A++,2
Panjab University,Punjab,3.5,A+,2
Savitribai Phule Pune University,Maharashtra,3.48,A+,1
Osmania University,Telangana,3.42,A+,1
Andhra University,Andhra Pradesh,3.4,A+,1
Madurai Kamaraj University,Tamil Nadu,3.38,A+,1
Bharathiar University,Tamil Nadu,3.36,A+,1
University of Kerala,Kerala,3.44,A+,1
Gujarat University,Gujarat,3.35,A+,1
Rajasthan University,Rajasthan,3.32,A+,1
University of Rajasthan,Rajasthan,3.34,A+,1
Gauhati University,Assam,3.3,A+,1
Patna University,Bihar,3.28,A+,1
University of Lucknow,Uttar Pradesh,3.3,A+,1
Dr. B. R. Ambedkar University Delhi,Delhi,3.25,A,1
Visvesvaraya Technological University,Karnataka,3.28,A+,1
Dr. A.P.J. Abdul Kalam Technical University,Uttar Pradesh,3.22,A,1
Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,3.4,A+,1
Malaviya National Institute of Technology Jaipur,Rajasthan,3.38,A+,1
Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,3.36,A+,1
National Institute of Technology Silchar,Assam,3.34,A+,1
National Institute of Technology Hamirpur,Himachal Pradesh,3.32,A+,1
National Institute of Technology Meghalaya,Meghalaya,3.2,A,1
National Institute of Technology Nagaland,Nagaland,3.18,A,1
National Institute of Technology Patna,Bihar,3.28,A+,1
National Institute of Technology Raipur,Chhattisgarh,3.26,A+,1
National Institute of Technology Srinagar,Jammu and Kashmir,3.24,A,1
National Institute of Technology Jamshedpur,Jharkhand,3.3,A+,1
National Institute of Technology Kurukshetra,Haryana,3.32,A+,1
National Institute of Technology Surathkal,Karnataka,3.5,A+,2
Indian Institute of Science Bengaluru,Karnataka,3.92,A++,2
All India Institute of Medical Sciences New Delhi,Delhi,3.85,A++,2
Post Graduate Institute of Medical Education and Research Chandigarh,Punjab,3.8,A++,2
Christian Medical College Vellore,Tamil Nadu,3.78,A++,2
National Law School of India University,Karnataka,3.7,A++,2
Indian Institute of Management Ahmedabad,Gujarat,3.65,A++,2
Indian Institute of Management Bangalore,Karnataka,3.68,A++,2
Indian Institute of Management Calcutta,West Bengal,3.66,A++,2
Tata Institute of Social Sciences,Maharashtra,3.55,A++,2
TERI School of Advanced Studies,Delhi,3.3,A+,1
Symbiosis International University,Maharashtra,3.48,A+,1
Bharati Vidyapeeth Deemed University,Maharashtra,3.35,A+,1
Lovely Professional University,Punjab,3.32,A+,1
Chandigarh University,Punjab,3.3,A+,1
Graphic Era University,Uttarakhand,3.22,A,1
Shiv Nadar University,Uttar Pradesh,3.45,A+,1
Ashoka University,Haryana,3.4,A+,1
O.P. Jindal Global University,Haryana,3.42,A+,1
Azim Premji University,Karnataka,3.38,A+,1
FLAME University,Maharashtra,3.28,A+,1
Christ University,Karnataka,3.42,A+,1
Presidency University Bengaluru,Karnataka,3.25,A,1
REVA University,Karnataka,3.22,A,1
PES University,Karnataka,3.38,A+,1
RV College of Engineering,Karnataka,3.36,A+,1
BMS College of Engineering,Karnataka,3.34,A+,1
MS Ramaiah Institute of Technology,Karnataka,3.32,A+,1
Dayananda Sagar College of Engineering,Karnataka,3.28,A+,1
Sir M. Visvesvaraya Institute of Technology,Karnataka,3.26,A+,1
Coimbatore Institute of Technology,Tamil Nadu,3.3,A+,1
Kumaraguru College of Technology,Tamil Nadu,3.28,A+,1
Thiagarajar College of Engineering,Tamil Nadu,3.26,A+,1
Government College of Technology Coimbatore,Tamil Nadu,3.24,A,1
Mepco Schlenk Engineering College,Tamil Nadu,3.22,A,1
National Institute of Fashion Technology,Delhi,3.4,A+,1
Indian Statistical Institute Kolkata,West Bengal,3.6,A++,2
Indian Institute of Foreign Trade,Delhi,3.55,A++,2
Indian Institute of Mass Communication,Delhi,3.35,A+,1
University of Madras,Tamil Nadu,2.88,B++,1
Bangalore University,Karnataka,2.88,B++,1
University of Mysore,Karnataka,2.87,B++,1
Gulbarga University,Karnataka,2.87,B++,1
University of Burdwan,West Bengal,2.86,B++,1
North Bengal University,West Bengal,2.85,B++,1
Ranchi University,Jharkhand,2.85,B++,1
Vinoba Bhave University,Jharkhand,2.85,B++,1
Utkal University,Odisha,2.84,B++,1
Sambalpur University,Odisha,2.83,B++,1
Berhampur University,Odisha,2.83,B++,1
Guru Ghasidas Vishwavidyalaya,Chhattisgarh,2.83,B++,1
Pt. Ravishankar Shukla University,Chhattisgarh,2.82,B++,1
Devi Ahilya Vishwavidyalaya,Madhya Pradesh,2.81,B++,1
Jiwaji University,Madhya Pradesh,2.81,B++,1
Rani Durgavati Vishwavidyalaya,Madhya Pradesh,2.81,B++,1
Dr. Harisingh Gour Vishwavidyalaya,Madhya Pradesh,2.8,B++,1
Mahatma Gandhi University Kottayam,Kerala,2.79,B++,1
Calicut University,Kerala,2.79,B++,1
Kannur University,Kerala,2.79,B++,1
Sree Sankaracharya University of Sanskrit,Kerala,2.78,B++,1
Maharaja Ganga Singh University,Rajasthan,2.77,B++,1
Mohanlal Sukhadia University,Rajasthan,2.77,B++,1
Jai Narain Vyas University,Rajasthan,2.77,B++,1
Veer Surendra Sai University of Technology,Odisha,2.76,B++,1
Indira Gandhi National Open University,Delhi,2.75,B+,1
English and Foreign Languages University,Telangana,2.75,B+,1
Central University of Punjab,Punjab,2.75,B+,1
Central University of Gujarat,Gujarat,2.74,B+,1
Central University of Kashmir,Jammu and Kashmir,2.73,B+,1
Central University of Himachal Pradesh,Himachal Pradesh,2.73,B+,1
Central University of Haryana,Haryana,2.73,B+,1
Central University of Jharkhand,Jharkhand,2.72,B+,1
Central University of Karnataka,Karnataka,2.71,B+,1
Central University of Kerala,Kerala,2.71,B+,1
Central University of Tamil Nadu,Tamil Nadu,2.71,B+,1
Central University of Rajasthan,Rajasthan,2.7,B+,1
Central University of South Bihar,Bihar,2.69,B+,1
Central University of Jammu,Jammu and Kashmir,2.69,B+,1
